"","X","date","wx","wy"
"293",524513,"2009-12-31 05:52:00",-2.06538295985951,-2.29384016313494
"294",524514,"2009-12-31 05:53:00",-2.87597496049482,-2.16720257947509
"295",524515,"2009-12-31 05:54:00",-2.22036199188802,-2.14417865157454
"296",524516,"2009-12-31 05:55:00",-1.61875175490699,-1.99899193927077
"297",524517,"2009-12-31 05:56:00",-1.3227139447705,-1.57634909565471
"298",524518,"2009-12-31 05:57:00",1.11022302462516e-16,-1.5433332
"299",524519,"2009-12-31 05:58:00",0.633447196554046,-0.810775438665516
"300",524520,"2009-12-31 05:59:00",-0.317944124522046,-0.978531397783101
"301",524521,"2009-12-31 06:00:00",-0.960550444722194,-0.368720769566125
"302",524522,"2009-12-31 06:01:00",-1.01622147152892,-0.160953669013885
"303",524523,"2009-12-31 06:02:00",-1.2794812097716,-0.863020973130799
"304",524524,"2009-12-31 06:03:00",-1.36268233391926,-0.72455104930335
"305",524525,"2009-12-31 06:04:00",-1.18226182174103,-0.992035458577878
"306",524526,"2009-12-31 06:05:00",-1.2794812097716,-0.863020973130799
"307",524527,"2009-12-31 06:06:00",-1.51988650084114,-0.267996997712872
"308",524528,"2009-12-31 06:07:00",-2.05426782892487,-1.54800184248221
"309",524529,"2009-12-31 06:08:00",-2.40961345316943,-2.67614685699076
"310",524530,"2009-12-31 06:09:00",-2.18260274270067,-2.18260274270067
"311",524531,"2009-12-31 06:10:00",-1.75425118571668,-1.88120408108627
"312",524532,"2009-12-31 06:11:00",-2.46512139470984,-1.85760221097865
"313",524533,"2009-12-31 06:12:00",-3.14960247327252,-1.74585315941298
"314",524534,"2009-12-31 06:13:00",-1.99899193927077,-1.618751754907
"315",524535,"2009-12-31 06:14:00",-0.502460141636458,-1.45925020893914
"316",524536,"2009-12-31 06:15:00",-0.1075481651373,-1.02325243949919
"317",524537,"2009-12-31 06:16:00",-0.267996997712872,-1.51988650084114
"318",524538,"2009-12-31 06:17:00",-1.74509437599334,-1.09045599174757
"319",524539,"2009-12-31 06:18:00",-2.27113722319877,-1.20758508217225
"320",524540,"2009-12-31 06:19:00",-1.98407091715576,-2.36452364348206
"321",524541,"2009-12-31 06:20:00",-2.63368571352077,-2.45595166000335
"322",524542,"2009-12-31 06:21:00",-2.64578950625591,-1.58975072054555
"323",524543,"2009-12-31 06:22:00",-2.10704090966512,-1.47536592826376
"324",524544,"2009-12-31 06:23:00",-1.85030165990669,-1.78681554297878
"325",524545,"2009-12-31 06:24:00",-1.40340094857334,-1.50496326486901
"326",524546,"2009-12-31 06:25:00",-1.21616315799827,-0.95017079483107
"327",524547,"2009-12-31 06:26:00",-0.932489931434794,-0.434827196180474
"328",524548,"2009-12-31 06:27:00",-0.932489931434794,-0.434827196180474
"329",524549,"2009-12-31 06:28:00",-1.43095362525689,-0.578142792557679
"330",524550,"2009-12-31 06:29:00",-0.862898754248686,-0.560373003169769
"331",524551,"2009-12-31 06:30:00",-0.661356972385252,-0.788174547827354
"332",524552,"2009-12-31 06:31:00",-1.59919355141662,-1.2950014039256
"333",524553,"2009-12-31 06:32:00",-2.55896241954321,-1.7260419462616
"334",524554,"2009-12-31 06:33:00",-2.27113722319877,-1.20758508217225
"335",524555,"2009-12-31 06:34:00",-1.9678625055942,-0.601635944852263
"336",524556,"2009-12-31 06:35:00",-1.93367842593854,-0.703801389684351
"337",524557,"2009-12-31 06:36:00",-1.98766052859914,-0.532592033465357
"338",524558,"2009-12-31 06:37:00",-1.44082566708329,0.553081154349187
"339",524559,"2009-12-31 06:38:00",-0.97283347262609,0.334973427757639
"340",524560,"2009-12-31 06:39:00",0.249407594201855,0.449943210467502
"341",524561,"2009-12-31 06:40:00",0.514366047626113,-0.00897829275818446
"342",524562,"2009-12-31 06:41:00",0.421408181933024,-0.295073185652752
"343",524563,"2009-12-31 06:42:00",0.0358858272814123,-0.513191239297485
"344",524564,"2009-12-31 06:43:00",0.451035163174438,0.924759127743894
"345",524565,"2009-12-31 06:44:00",1.03269147992976,1.14692008156747
"346",524566,"2009-12-31 06:45:00",0.4830340328689,0.90845488927951
"347",524567,"2009-12-31 06:46:00",0.167486713878819,0.486416736313045
"348",524568,"2009-12-31 06:47:00",1.11022302462516e-16,0
"349",524569,"2009-12-31 06:48:00",0.330678486192626,0.394087273913677
"350",524570,"2009-12-31 06:49:00",0.675011787067208,0.776512234343912
"351",524571,"2009-12-31 06:50:00",0.24151701643445,0.454227444639755
"352",524572,"2009-12-31 06:51:00",0.30238283144445,0.416194262261023
"353",524573,"2009-12-31 06:52:00",0.978531397783101,-0.317944124522046
"354",524574,"2009-12-31 06:53:00",0.529916906848516,-0.881929835418636
"355",524575,"2009-12-31 06:54:00",0.498815188403709,-0.899886420935004
"356",524576,"2009-12-31 06:55:00",0.231449620362594,-1.0025184467128
"357",524577,"2009-12-31 06:56:00",0.196321238282179,-1.00998521482485
"358",524578,"2009-12-31 06:57:00",0.283600188261725,-0.989031392819942
"359",524579,"2009-12-31 06:58:00",0.368720769566125,-0.960550444722194
"360",524580,"2009-12-31 06:59:00",0.133148008366339,-0.496915132149784
"361",524581,"2009-12-31 07:00:00",0.0626950012464551,-0.510609809453429
"362",524582,"2009-12-31 07:01:00",0.0896735675687467,-1.02497356748598
"363",524583,"2009-12-31 07:02:00",0.0269348782745532,-1.54309814287834
"364",524584,"2009-12-31 07:03:00",-0.0896735675687468,-1.02497356748598
